File,Tag,Occurrences,Category,,,,
Ex00_writer-LLM-GPT4,incoming,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,SequenceFlow,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,sourceRef,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,targetRef,9,Connecting objects,,,,
Ex00_writer-LLM-GPT4,outgoing,8,Connecting objects,,,,
Ex00_writer-LLM-GPT4,UserTask,6,Flow objects ,,,,
Ex00_writer-LLM-GPT4,EndEvent,2,Flow objects ,,,,
Ex00_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex00_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex00_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex00_writer-LLM-GPT4,lanes,1,Swim lanes,,,,
Ex01_writer-LLM-GPT4,SequenceFlow,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,sourceRef,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,targetRef,10,Connecting objects,,,,
Ex01_writer-LLM-GPT4,outgoing,8,Connecting objects,,,,
Ex01_writer-LLM-GPT4,incoming,8,Connecting objects,,,,
Ex01_writer-LLM-GPT4,UserTask,5,Flow objects ,,,,
Ex01_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,ParallelGateway,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex01_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex01_writer-LLM-GPT4,lanes,1,Swim lanes,,,,
Ex02_writer-LLM-GPT4,SequenceFlow,8,Connecting objects,,,,
Ex02_writer-LLM-GPT4,sourceRef,8,Connecting objects,,,,
Ex02_writer-LLM-GPT4,outgoing,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,incoming,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,targetRef,7,Connecting objects,,,,
Ex02_writer-LLM-GPT4,UserTask,5,Flow objects ,,,,
Ex02_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex02_writer-LLM-GPT4,DataObject,2,Artifacts,,,,
Ex02_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex02_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex03_writer-LLM-GPT4,SequenceFlow,16,Connecting objects,,,,
Ex03_writer-LLM-GPT4,sourceRef,16,Connecting objects,,,,
Ex03_writer-LLM-GPT4,outgoing,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,incoming,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,targetRef,12,Connecting objects,,,,
Ex03_writer-LLM-GPT4,UserTask,3,Flow objects ,,,,
Ex03_writer-LLM-GPT4,ExclusiveGateway,3,Flow objects ,,,,
Ex03_writer-LLM-GPT4,SendTask,3,Flow objects ,,,,
Ex03_writer-LLM-GPT4,lanes,3,Swim lanes,,,,
Ex03_writer-LLM-GPT4,ServiceTask,2,Flow objects ,,,,
Ex03_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex03_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex03_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex03_writer-LLM-GPT4,DataObject,1,Artifacts,,,,
Ex04_writer-LLM-GPT4,incoming,8,Connecting objects,,,,
Ex04_writer-LLM-GPT4,SequenceFlow,8,Connecting objects,,,,
Ex04_writer-LLM-GPT4,sourceRef,8,Connecting objects,,,,
Ex04_writer-LLM-GPT4,targetRef,8,Connecting objects,,,,
Ex04_writer-LLM-GPT4,outgoing,7,Connecting objects,,,,
Ex04_writer-LLM-GPT4,UserTask,5,Flow objects ,,,,
Ex04_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex04_writer-LLM-GPT4,DataObject,2,Artifacts,,,,
Ex04_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex04_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex04_writer-LLM-GPT4,IntermediateCatchEvent,1,Flow objects ,,,,
Ex04_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex04_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex05_writer-LLM-GPT4,outgoing,8,Connecting objects,,,,
Ex05_writer-LLM-GPT4,SequenceFlow,8,Connecting objects,,,,
Ex05_writer-LLM-GPT4,sourceRef,8,Connecting objects,,,,
Ex05_writer-LLM-GPT4,incoming,7,Connecting objects,,,,
Ex05_writer-LLM-GPT4,targetRef,7,Connecting objects,,,,
Ex05_writer-LLM-GPT4,UserTask,4,Flow objects ,,,,
Ex05_writer-LLM-GPT4,laneSets,3,Swim lanes,,,,
Ex05_writer-LLM-GPT4,lanes,3,Swim lanes,,,,
Ex05_writer-LLM-GPT4,DataObject,3,Artifacts,,,,
Ex05_writer-LLM-GPT4,ServiceTask,2,Flow objects ,,,,
Ex05_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex05_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex05_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex05_writer-LLM-GPT4,DataStore,1,Artifacts,,,,
Ex07_writer-LLM-GPT4,outgoing,6,Connecting objects,,,,
Ex07_writer-LLM-GPT4,SequenceFlow,6,Connecting objects,,,,
Ex07_writer-LLM-GPT4,sourceRef,6,Connecting objects,,,,
Ex07_writer-LLM-GPT4,UserTask,6,Flow objects ,,,,
Ex07_writer-LLM-GPT4,incoming,5,Connecting objects,,,,
Ex07_writer-LLM-GPT4,targetRef,5,Connecting objects,,,,
Ex07_writer-LLM-GPT4,laneSets,2,Swim lanes,,,,
Ex07_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex07_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex07_writer-LLM-GPT4,CallActivity,1,Flow objects ,,,,
Ex07_writer-LLM-GPT4,ReceiveTask,1,Flow objects ,,,,
Ex07_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex08_writer-LLM-GPT4,outgoing,6,Connecting objects,,,,
Ex08_writer-LLM-GPT4,incoming,6,Connecting objects,,,,
Ex08_writer-LLM-GPT4,SequenceFlow,6,Connecting objects,,,,
Ex08_writer-LLM-GPT4,sourceRef,6,Connecting objects,,,,
Ex08_writer-LLM-GPT4,targetRef,6,Connecting objects,,,,
Ex08_writer-LLM-GPT4,UserTask,4,Flow objects ,,,,
Ex08_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex08_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex08_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex08_writer-LLM-GPT4,EndEvent,1,Flow objects ,,,,
Ex08_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex09_writer-LLM-GPT4,outgoing,12,Connecting objects,,,,
Ex09_writer-LLM-GPT4,incoming,12,Connecting objects,,,,
Ex09_writer-LLM-GPT4,SequenceFlow,10,Connecting objects,,,,
Ex09_writer-LLM-GPT4,sourceRef,10,Connecting objects,,,,
Ex09_writer-LLM-GPT4,targetRef,10,Connecting objects,,,,
Ex09_writer-LLM-GPT4,UserTask,8,Flow objects ,,,,
Ex09_writer-LLM-GPT4,IntermediateCatchEvent,2,Flow objects ,,,,
Ex09_writer-LLM-GPT4,ExclusiveGateway,2,Flow objects ,,,,
Ex09_writer-LLM-GPT4,StartEvent,1,Flow objects ,,,,
Ex09_writer-LLM-GPT4,laneSets,1,Swim lanes,,,,
Ex09_writer-LLM-GPT4,lanes,1,Swim lanes,,,,
Ex10_writer-LLM-GPT4,SequenceFlow,15,Connecting objects,,,,
Ex10_writer-LLM-GPT4,sourceRef,13,Connecting objects,,,,
Ex10_writer-LLM-GPT4,outgoing,12,Connecting objects,,,,
Ex10_writer-LLM-GPT4,incoming,9,Connecting objects,,,,
Ex10_writer-LLM-GPT4,targetRef,9,Connecting objects,,,,
Ex10_writer-LLM-GPT4,EndEvent,3,Flow objects ,,,,
Ex10_writer-LLM-GPT4,IntermediateThrowEvent,3,Flow objects ,,,,
Ex10_writer-LLM-GPT4,laneSets,2,Swim lanes,,,,
Ex10_writer-LLM-GPT4,lanes,2,Swim lanes,,,,
Ex10_writer-LLM-GPT4,StartEvent,2,Flow objects ,,,,
Ex10_writer-LLM-GPT4,ServiceTask,2,Flow objects ,,,,
Ex10_writer-LLM-GPT4,UserTask,2,Flow objects ,,,,
Ex10_writer-LLM-GPT4,SendTask,1,Flow objects ,,,,
Ex10_writer-LLM-GPT4,IntermediateCatchEvent,1,Flow objects ,,,,
Ex10_writer-LLM-GPT4,ExclusiveGateway,1,Flow objects ,,,,
Ex10_writer-LLM-GPT4,ReceiveTask,1,Flow objects ,,,,
